普通の言い方,尊敬,謙譲,不明
安心,ご安心,安心,（ご）安心
案内,ご案内,案内,（ご）案内
愛着,ご愛着,愛着,（ご）愛着
意向,ご意向,意向,（ご）意向
遺言,ご遺言,遺言,（ご）遺言
移行,ご移行,移行,（ご）移行
遺族,ご遺族,遺族,（ご）遺族
活躍,ご活躍,活躍,（ご）活躍
確認,ご確認,確認,（ご）確認
家族,ご家族,家族,（ご）家族
活用,ご活用,活用,（ご）活用
家庭,ご家庭,家庭,（ご）家庭
期待,ご期待,期待,（ご）期待
兄弟,ご兄弟,兄弟,（ご）兄弟
興味,ご興味,興味,（ご）興味
協力,ご協力,協力,（ご）協力
加入,ご加入,加入,（ご）加入
希望,ご希望,希望,（ご）希望
感想,ご感想,感想,（ご）感想
気分,ご気分,気分,（ご）気分
鑑賞,ご鑑賞,鑑賞,（ご）鑑賞
関心,ご関心,関心,（ご）関心
苦労,ご苦労,苦労,（ご）苦労
記入,ご記入,記入,（ご）記入
来日,ご来日,来日,（ご）来日
来場,ご来場,来場,（ご）来場
来所,ご来所,来所,（ご）来所
来社,ご来社,来社,（ご）来社
来校,ご来校,来校,（ご）来校
無理,ご無理,無理,（ご）無理
満足,ご満足,満足,（ご）満足
本人,ご本人,本人,（ご）本人
返答,ご返答,返答,（ご）返答
訪問,ご訪問,訪問,（ご）訪問
変更,ご変更,変更,（ご）変更
無事,ご無事,無事,（ご）無事
発送,ご発送,発送,（ご）発送
配慮,ご配慮,配慮,（ご）配慮
夫婦,ご夫婦,夫婦,（ご）夫婦
披露,ご披露,披露,（ご）披露
病気,ご病気,病気,（ご）病気
判断,ご判断,判断,（ご）判断
不便,ご不便,不便,（ご）不便
反響,ご反響,反響,（ご）反響
都合,ご都合,都合,（ご）都合
聴講,ご聴講,聴講,（ご）聴講
注文,ご注文,注文,（ご）注文
注目,ご注目,注目,（ご）注目
忠告,ご忠告,忠告,（ご）忠告
丁寧,ご丁寧,丁寧,（ご）丁寧
葬儀,ご葬儀,葬儀,（ご）葬儀
説明,ご説明,説明,（ご）説明
卒業,ご卒業,卒業,（ご）卒業
送付,ご送付,送付,（ご）送付
相談,ご相談,相談,（ご）相談
配送,ご配送,配送,（ご）配送
支援,ご支援,支援,（ご）支援
持参,ご持参,持参,（ご）持参
要望,ご要望,要望,（ご）要望
様子,ご様子,様子,（ご）様子
迷惑,ご迷惑,迷惑,（ご）迷惑
冥福,ご冥福,冥福,（ご）冥福
報告,ご報告,報告,（ご）報告
満足,ご満足,満足,（ご）満足
本人,ご本人,本人,（ご）本人
返品,ご返品,返品,（ご）返品
返納,ご返納,返納,（ご）返納
訪問,ご訪問,訪問,（ご）訪問
返答,ご返答,返答,（ご）返答
返送,ご返送,返送,（ご）返送
返信,ご返信,返信,（ご）返信
褒美,ご褒美,褒美,（ご）褒美
面倒,ご面倒,面倒,（ご）面倒
変更,ご変更,変更,（ご）変更
返金,ご返金,返金,（ご）返金
無事,ご無事,無事,（ご）無事
配慮,ご配慮,配慮,（ご）配慮
配信,ご配信,配信,（ご）配信
不快,ご不快,不快,（ご）不快
夫婦,ご夫婦,夫婦,（ご）夫婦
返品,ご返品,返品,（ご）返品
販売,ご販売,販売,（ご）販売
熱心,ご熱心,熱心,（ご）熱心
熱意,ご熱意,熱意,（ご）熱意
繁栄,ご繁栄,繁栄,（ご）繁栄
発表,ご発表,発表,（ご）発表
発展,ご発展,発展,（ご）発展
同封,ご同封,同封,（ご）同封
提案,ご提案,提案,（ご）提案
同伴,ご同伴,同伴,（ご）同伴
都合,ご都合,都合,（ご）都合
到着,ご到着,到着,（ご）到着
通知,ご通知,通知,（ご）通知
通達,ご通達,通達,（ご）通達
通告,ご通告,通告,（ご）通告
調達,ご調達,調達,（ご）調達
当選,ご当選,当選,（ご）当選
調査,ご調査,調査,（ご）調査
同意,ご同意,同意,（ご）同意
注文,ご注文,注文,（ご）注文
注力,ご注力,注力,（ご）注力
忠告,ご忠告,忠告,（ご）忠告
丁寧,ご丁寧,丁寧,（ご）丁寧
訂正,ご訂正,訂正,（ご）訂正
着席,ご着席,着席,（ご）着席
提出,ご提出,提出,（ご）提出
提示,ご提示,提示,（ご）提示
提供,ご提供,提供,（ご）提供
想像,ご想像,想像,（ご）想像
退院,ご退院,退院,（ご）退院
送金,ご送金,送金,（ご）送金
先祖,ご先祖,先祖,（ご）先祖
紹介,ご紹介,紹介,（ご）紹介
使用,ご使用,使用,（ご）使用
準備,ご準備,準備,（ご）準備
趣味,ご趣味,趣味,（ご）趣味
処分,ご処分,処分,（ご）処分
出版,ご出版,出版,（ご）出版
出産,ご出産,出産,（ご）出産
出勤,ご出勤,出勤,（ご）出勤
承知,ご承知,承知,（ご）承知
冗談,ご冗談,冗談,（ご）冗談
上達,ご上達,上達,（ご）上達
承諾,ご承諾,承諾,（ご）承諾
宿泊,ご宿泊,宿泊,（ご）宿泊
乗車,ご乗車,乗車,（ご）乗車
就任,ご就任,就任,（ご）就任
高齢,ご高齢,高齢,（ご）高齢
好評,ご好評,好評,（ご）好評
指示,ご指示,指示,（ご）指示
祝儀,ご祝儀,祝儀,（ご）祝儀
購入,ご購入,購入,（ご）購入
参考,ご参考,参考,（ご）参考
参加,ご参加,参加,（ご）参加
検討,ご検討,検討,（ご）検討
催促,ご催促,催促,（ご）催促
婚約,ご婚約,婚約,（ご）婚約
在宅,ご在宅,在宅,（ご）在宅
協力,ご協力,協力,（ご）協力
興味,ご興味,興味,（ご）興味
兄弟,ご兄弟,兄弟,（ご）兄弟
観覧,ご観覧,観覧,（ご）観覧
勧誘,ご勧誘,勧誘,（ご）勧誘
気分,ご気分,気分,（ご）気分
感想,ご感想,感想,（ご）感想
勘弁,ご勘弁,勘弁,（ご）勘弁
希望,ご希望,希望,（ご）希望
記入,ご記入,記入,（ご）記入
鑑賞,ご鑑賞,鑑賞,（ご）鑑賞
関心,ご関心,関心,（ご）関心
期待,ご期待,期待,（ご）期待
加入,ご加入,加入,（ご）加入
家庭,ご家庭,家庭,（ご）家庭
関係,ご関係,関係,（ご）関係
活用,ご活用,活用,（ご）活用
活躍,ご活躍,活躍,（ご）活躍
確認,ご確認,確認,（ご）確認
一緒,ご一緒,一緒,（ご）一緒
挨拶,ご挨拶,挨拶,（ご）挨拶
遺体,ご遺体,遺体,（ご）遺体
遺族,ご遺族,遺族,（ご）遺族
遺志,ご遺志,遺志,（ご）遺志
意志,ご意志,意志,（ご）意志
遺言,ご遺言,遺言,（ご）遺言
移行,ご移行,移行,（ご）移行
意向,ご意向,意向,（ご）意向
恩,ご恩,恩,（ご）恩
意見,ご意見,意見,（ご）意見
安心,ご安心,安心,（ご）安心
案内,ご案内,案内,（ご）案内
愛用,ご愛用,愛用,（ご）愛用
愛読,ご愛読,愛読,（ご）愛読
愛着,ご愛着,愛着,（ご）愛着
弁当,お弁当,弁当,（お）弁当
間違い,お間違い,間違い,（お）間違い
返事,お返事,返事,（お）返事
勉強,お勉強,勉強,（お）勉強
部屋,お部屋,部屋,（お）部屋
風呂,お風呂,風呂,（お）風呂
引っ越し,お引っ越し,引っ越し,（お）引っ越し
悩み,お悩み,悩み,（お）悩み
願い,お願い,願い,（お）願い
名前,お名前,名前,（お）名前
馴染み,お馴染み,馴染み,（お）馴染み
人形,お人形,人形,（お）人形
荷物,お荷物,荷物,（お）荷物
取り寄せ,お取り寄せ,取り寄せ,（お）取り寄せ
問い合わせ,お問い合わせ,問い合わせ,（お）問い合わせ
年寄り,お年寄り,年寄り,（お）年寄り
電話,お電話,電話,（お）電話
天気,お天気,天気,（お）天気
得,お得,得,（お）得
手間,お手間,手間,（お）手間
手紙,お手紙,手紙,（お）手紙
手軽,お手軽,手軽,（お）手軽
手柄,お手柄,手柄,（お）手柄
手入れ,お手入れ,手入れ,（お）手入れ
通夜,お通夜,通夜,（お）通夜
注射,お注射,注射,（お）注射
漬物,お漬物,漬物,（お）漬物
便り,お便り,便り,（お）便り
試し,お試し,試し,（お）試し
互い,お互い,互い,（お）互い
楽しみ,お楽しみ,楽しみ,（お）楽しみ
住まい,お住まい,住まい,（お）住まい
世話,お世話,世話,（お）世話
説教,お説教,説教,（お）説教
寿司,お寿司,寿司,（お）寿司
姿,お姿,姿,（お）姿
蕎麦,お蕎麦,蕎麦,（お）蕎麦
写真,お写真,写真,（お）写真
仕事,お仕事,仕事,（お）仕事
時間,お時間,時間,（お）時間
芝居,お芝居,芝居,（お）芝居
支払い,お支払い,支払い,（お）支払い
支度,お支度,支度,（お）支度
酒,お酒,酒,（お）酒
財布,お財布,財布,（お）財布
答え,お答え,答え,（お）答え
米,お米,米,（お）米
怪我,お怪我,怪我,（お）怪我
化粧,お化粧,化粧,（お）化粧
稽古,お稽古,稽古,（お）稽古
車,お車,車,（お）車
心配,ご心配,心配,（ご）心配
靴,お靴,靴,（お）靴
国,お国,国,（お）国
着物,お着物,着物,（お）着物
気の毒,お気の毒,気の毒,（お）気の毒
決まり,お決まり,決まり,（お）決まり
薬,お薬,薬,（お）薬
金,お金,金,（お）金
色,お色,色,（お）色
祈り,お祈り,祈り,（お）祈り
命,お命,命,（お）命
会計,お会計,会計,（お）会計
入学,ご入学,入学,（ご）入学
受験,お受験,受験,（お）受験
用心,ご用心,用心,（ご）用心
熱心,ご熱心,熱心,（ご）熱心
希望,ご希望,希望,（ご）希望
親切,ご親切,親切,（ご）親切
到着,ご到着,到着,（ご）到着
住所,ご住所,住所,（ご）住所
理解,ご理解,理解,（ご）理解
説明,ご説明,説明,（ご）説明
立派,ご立派,立派,（ご）立派
飯,ご飯,飯,（ご）飯
主人,ご主人,主人,（ご）主人
案内,ご案内,案内,（ご）案内
出席,ご出席,出席,（ご）出席
家庭,ご家庭,家庭,（ご）家庭
招待,ご招待,招待,（ご）招待
研究,ご研究,研究,（ご）研究
見事,お見事,見事,（お）見事
話,お話,話,（お）話
掃除,お掃除,掃除,（お）掃除
行儀,お行儀,行儀,（お）行儀
便所,お便所,便所,（お）便所
勘定,お勘定,勘定,（お）勘定
知らせ,お知らせ,知らせ,（お）知らせ
許し,お許し,許し,（お）許し
